AGE5P Age in Five Year Groups,SEXP Sex,LGA (UR),TYPP Type of Educational Institution Attending,2-digit level QALFP Non-School Qualification: Field of Study,Count
Total,Male,East Gippsland,Tertiary - Vocational education (including TAFE and private training providers),"Agriculture, Environmental and Related Studies",9
Total,Male,East Gippsland,Tertiary - Vocational education (including TAFE and private training providers),Health,3
Total,Male,East Gippsland,Tertiary - Vocational education (including TAFE and private training providers),Education,3
Total,Male,East Gippsland,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,21
Total,Male,East Gippsland,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,14
Total,Male,East Gippsland,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,3
Total,Male,East Gippsland,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",16
Total,Male,East Gippsland,Tertiary - Vocational education (including TAFE and private training providers),Field of study inadequately described,4
Total,Male,East Gippsland,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,10
Total,Male,East Gippsland,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,194
Total,Male,East Gippsland,Tertiary - University or other higher education,Natural and Physical Sciences,13
Total,Male,East Gippsland,Tertiary - University or other higher education,Information Technology,8
Total,Male,East Gippsland,Tertiary - University or other higher education,Engineering and Related Technologies,12
Total,Male,East Gippsland,Tertiary - University or other higher education,Architecture and Building,3
Total,Male,East Gippsland,Tertiary - University or other higher education,"Agriculture, Environmental and Related Studies",5
Total,Male,East Gippsland,Tertiary - University or other higher education,Health,14
Total,Male,East Gippsland,Tertiary - University or other higher education,Management and Commerce,27
Total,Male,East Gippsland,Tertiary - University or other higher education,Society and Culture,21
Total,Male,East Gippsland,Tertiary - University or other higher education,Creative Arts,8
Total,Male,East Gippsland,Tertiary - University or other higher education,"Food, Hospitality and Personal Services",3
Total,Male,East Gippsland,Tertiary - University or other higher education,Not applicable,53
Total,Male,Frankston,Tertiary - Vocational education (including TAFE and private training providers),Natural and Physical Sciences,17
Total,Male,Frankston,Tertiary - Vocational education (including TAFE and private training providers),Information Technology,37
Total,Male,Frankston,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,187
Total,Male,Frankston,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,152
Total,Male,Frankston,Tertiary - Vocational education (including TAFE and private training providers),"Agriculture, Environmental and Related Studies",25
Total,Male,Frankston,Tertiary - Vocational education (including TAFE and private training providers),Health,33
Total,Male,Frankston,Tertiary - Vocational education (including TAFE and private training providers),Education,27
Total,Male,Frankston,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,91
Total,Male,Frankston,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,80
Total,Male,Frankston,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,38
Total,Male,Frankston,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",40
Total,Male,Frankston,Tertiary - Vocational education (including TAFE and private training providers),Mixed Field Programmes,3
Total,Male,Frankston,Tertiary - Vocational education (including TAFE and private training providers),Field of study inadequately described,11
Total,Male,Frankston,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,23
Total,Male,Frankston,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,881
Total,Male,Frankston,Tertiary - University or other higher education,Natural and Physical Sciences,52
Total,Male,Frankston,Tertiary - University or other higher education,Information Technology,56
Total,Male,Frankston,Tertiary - University or other higher education,Engineering and Related Technologies,100
Total,Male,Frankston,Tertiary - University or other higher education,Architecture and Building,32
Total,Male,Frankston,Tertiary - University or other higher education,"Agriculture, Environmental and Related Studies",12
Total,Male,Frankston,Tertiary - University or other higher education,Health,86
Total,Male,Frankston,Tertiary - University or other higher education,Education,46
Total,Male,Frankston,Tertiary - University or other higher education,Management and Commerce,140
Total,Male,Frankston,Tertiary - University or other higher education,Society and Culture,134
Total,Male,Frankston,Tertiary - University or other higher education,Creative Arts,55
Total,Male,Frankston,Tertiary - University or other higher education,"Food, Hospitality and Personal Services",14
Total,Male,Frankston,Tertiary - University or other higher education,Field of study inadequately described,18
Total,Male,Frankston,Tertiary - University or other higher education,Field of study not stated,9
Total,Male,Frankston,Tertiary - University or other higher education,Not applicable,836
Total,Male,Frankston,Tertiary - not further defined,Architecture and Building,3
Total,Male,Gannawarra,Tertiary - Vocational education (including TAFE and private training providers),Information Technology,3
Total,Male,Gannawarra,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,16
Total,Male,Gannawarra,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,3
Total,Male,Gannawarra,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,3
Total,Male,Gannawarra,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",3
Total,Male,Gannawarra,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,35
Total,Male,Gannawarra,Tertiary - University or other higher education,Engineering and Related Technologies,3
Total,Male,Gannawarra,Tertiary - University or other higher education,Management and Commerce,3
Total,Male,Gannawarra,Tertiary - University or other higher education,Society and Culture,6
Total,Male,Gannawarra,Tertiary - University or other higher education,Field of study inadequately described,3
Total,Male,Gannawarra,Tertiary - University or other higher education,Not applicable,18
Total,Male,Glen Eira,Tertiary - Vocational education (including TAFE and private training providers),Natural and Physical Sciences,14
Total,Male,Glen Eira,Tertiary - Vocational education (including TAFE and private training providers),Information Technology,72
Total,Male,Glen Eira,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,151
Total,Male,Glen Eira,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,95
Total,Male,Glen Eira,Tertiary - Vocational education (including TAFE and private training providers),"Agriculture, Environmental and Related Studies",18
Total,Male,Glen Eira,Tertiary - Vocational education (including TAFE and private training providers),Health,44
Total,Male,Glen Eira,Tertiary - Vocational education (including TAFE and private training providers),Education,12
Total,Male,Glen Eira,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,155
Total,Male,Glen Eira,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,81
Total,Male,Glen Eira,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,55
Total,Male,Glen Eira,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",85
Total,Male,Glen Eira,Tertiary - Vocational education (including TAFE and private training providers),Mixed Field Programmes,3
Total,Male,Glen Eira,Tertiary - Vocational education (including TAFE and private training providers),Field of study inadequately described,16
Total,Male,Glen Eira,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,20
Total,Male,Glen Eira,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,552
Total,Male,Glen Eira,Tertiary - University or other higher education,Natural and Physical Sciences,204
Total,Male,Glen Eira,Tertiary - University or other higher education,Information Technology,192
Total,Male,Glen Eira,Tertiary - University or other higher education,Engineering and Related Technologies,286
Total,Male,Glen Eira,Tertiary - University or other higher education,Architecture and Building,65
Total,Male,Glen Eira,Tertiary - University or other higher education,"Agriculture, Environmental and Related Studies",12
Total,Male,Glen Eira,Tertiary - University or other higher education,Health,189
Total,Male,Glen Eira,Tertiary - University or other higher education,Education,67
Total,Male,Glen Eira,Tertiary - University or other higher education,Management and Commerce,529
Total,Male,Glen Eira,Tertiary - University or other higher education,Society and Culture,320
Total,Male,Glen Eira,Tertiary - University or other higher education,Creative Arts,176
Total,Male,Glen Eira,Tertiary - University or other higher education,"Food, Hospitality and Personal Services",36
Total,Male,Glen Eira,Tertiary - University or other higher education,Mixed Field Programmes,7
Total,Male,Glen Eira,Tertiary - University or other higher education,Field of study inadequately described,50
Total,Male,Glen Eira,Tertiary - University or other higher education,Field of study not stated,54
Total,Male,Glen Eira,Tertiary - University or other higher education,Not applicable,2557
Total,Male,Glen Eira,Tertiary - not further defined,Engineering and Related Technologies,5
Total,Male,Glen Eira,Tertiary - not further defined,Field of study not stated,5
Total,Male,Glenelg,Tertiary - Vocational education (including TAFE and private training providers),Information Technology,6
Total,Male,Glenelg,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,21
Total,Male,Glenelg,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,21
Total,Male,Glenelg,Tertiary - Vocational education (including TAFE and private training providers),"Agriculture, Environmental and Related Studies",9
Total,Male,Glenelg,Tertiary - Vocational education (including TAFE and private training providers),Education,5
Total,Male,Glenelg,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,3
Total,Male,Glenelg,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,8
Total,Male,Glenelg,Tertiary - Vocational education (including TAFE and private training providers),Field of study inadequately described,4
Total,Male,Glenelg,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,4
Total,Male,Glenelg,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,95
Total,Male,Glenelg,Tertiary - University or other higher education,Natural and Physical Sciences,5
Total,Male,Glenelg,Tertiary - University or other higher education,Engineering and Related Technologies,3
Total,Male,Glenelg,Tertiary - University or other higher education,Architecture and Building,4
Total,Male,Glenelg,Tertiary - University or other higher education,"Agriculture, Environmental and Related Studies",3
Total,Male,Glenelg,Tertiary - University or other higher education,Health,15
Total,Male,Glenelg,Tertiary - University or other higher education,Management and Commerce,10
Total,Male,Glenelg,Tertiary - University or other higher education,Society and Culture,3
Total,Male,Glenelg,Tertiary - University or other higher education,Not applicable,21
Total,Male,Golden Plains,Tertiary - Vocational education (including TAFE and private training providers),Information Technology,3
Total,Male,Golden Plains,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,31
Total,Male,Golden Plains,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,22
Total,Male,Golden Plains,Tertiary - Vocational education (including TAFE and private training providers),"Agriculture, Environmental and Related Studies",8
Total,Male,Golden Plains,Tertiary - Vocational education (including TAFE and private training providers),Health,4
Total,Male,Golden Plains,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,14
Total,Male,Golden Plains,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,7
Total,Male,Golden Plains,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,9
Total,Male,Golden Plains,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",5
Total,Male,Golden Plains,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,3
Total,Male,Golden Plains,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,139
Total,Male,Golden Plains,Tertiary - University or other higher education,Natural and Physical Sciences,6
Total,Male,Golden Plains,Tertiary - University or other higher education,Information Technology,8
Total,Male,Golden Plains,Tertiary - University or other higher education,Engineering and Related Technologies,15
Total,Male,Golden Plains,Tertiary - University or other higher education,Architecture and Building,5
Total,Male,Golden Plains,Tertiary - University or other higher education,"Agriculture, Environmental and Related Studies",3
Total,Male,Golden Plains,Tertiary - University or other higher education,Education,4
Total,Male,Golden Plains,Tertiary - University or other higher education,Management and Commerce,12
Total,Male,Golden Plains,Tertiary - University or other higher education,Society and Culture,9
Total,Male,Golden Plains,Tertiary - University or other higher education,Creative Arts,8
Total,Male,Golden Plains,Tertiary - University or other higher education,Field of study inadequately described,4
Total,Male,Golden Plains,Tertiary - University or other higher education,Not applicable,105
Total,Male,Greater Bendigo,Tertiary - Vocational education (including TAFE and private training providers),Natural and Physical Sciences,10
Total,Male,Greater Bendigo,Tertiary - Vocational education (including TAFE and private training providers),Information Technology,22
Total,Male,Greater Bendigo,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,158
Total,Male,Greater Bendigo,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,138
Total,Male,Greater Bendigo,Tertiary - Vocational education (including TAFE and private training providers),"Agriculture, Environmental and Related Studies",23
Total,Male,Greater Bendigo,Tertiary - Vocational education (including TAFE and private training providers),Health,43
Total,Male,Greater Bendigo,Tertiary - Vocational education (including TAFE and private training providers),Education,15
Total,Male,Greater Bendigo,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,49
Total,Male,Greater Bendigo,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,67
Total,Male,Greater Bendigo,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,26
Total,Male,Greater Bendigo,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",50
Total,Male,Greater Bendigo,Tertiary - Vocational education (including TAFE and private training providers),Field of study inadequately described,3
Total,Male,Greater Bendigo,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,18
Total,Male,Greater Bendigo,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,702
Total,Male,Greater Bendigo,Tertiary - University or other higher education,Natural and Physical Sciences,35
Total,Male,Greater Bendigo,Tertiary - University or other higher education,Information Technology,32
Total,Male,Greater Bendigo,Tertiary - University or other higher education,Engineering and Related Technologies,69
Total,Male,Greater Bendigo,Tertiary - University or other higher education,Architecture and Building,14
Total,Male,Greater Bendigo,Tertiary - University or other higher education,"Agriculture, Environmental and Related Studies",12
Total,Male,Greater Bendigo,Tertiary - University or other higher education,Health,131
Total,Male,Greater Bendigo,Tertiary - University or other higher education,Education,54
Total,Male,Greater Bendigo,Tertiary - University or other higher education,Management and Commerce,120
Total,Male,Greater Bendigo,Tertiary - University or other higher education,Society and Culture,105
Total,Male,Greater Bendigo,Tertiary - University or other higher education,Creative Arts,34
Total,Male,Greater Bendigo,Tertiary - University or other higher education,"Food, Hospitality and Personal Services",16
Total,Male,Greater Bendigo,Tertiary - University or other higher education,Field of study inadequately described,13
Total,Male,Greater Bendigo,Tertiary - University or other higher education,Field of study not stated,14
Total,Male,Greater Bendigo,Tertiary - University or other higher education,Not applicable,646
Total,Male,Greater Bendigo,Tertiary - not further defined,Field of study not stated,3
Total,Male,Greater Bendigo,Tertiary - not further defined,Not applicable,3
Total,Male,Greater Dandenong,Tertiary - Vocational education (including TAFE and private training providers),Natural and Physical Sciences,24
Total,Male,Greater Dandenong,Tertiary - Vocational education (including TAFE and private training providers),Information Technology,122
Total,Male,Greater Dandenong,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,332
Total,Male,Greater Dandenong,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,159
Total,Male,Greater Dandenong,Tertiary - Vocational education (including TAFE and private training providers),"Agriculture, Environmental and Related Studies",16
Total,Male,Greater Dandenong,Tertiary - Vocational education (including TAFE and private training providers),Health,61
Total,Male,Greater Dandenong,Tertiary - Vocational education (including TAFE and private training providers),Education,19
Total,Male,Greater Dandenong,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,246
Total,Male,Greater Dandenong,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,97
Total,Male,Greater Dandenong,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,41
Total,Male,Greater Dandenong,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",173
Total,Male,Greater Dandenong,Tertiary - Vocational education (including TAFE and private training providers),Mixed Field Programmes,7
Total,Male,Greater Dandenong,Tertiary - Vocational education (including TAFE and private training providers),Field of study inadequately described,13
Total,Male,Greater Dandenong,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,51
Total,Male,Greater Dandenong,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,959
Total,Male,Greater Dandenong,Tertiary - University or other higher education,Natural and Physical Sciences,140
Total,Male,Greater Dandenong,Tertiary - University or other higher education,Information Technology,239
Total,Male,Greater Dandenong,Tertiary - University or other higher education,Engineering and Related Technologies,331
Total,Male,Greater Dandenong,Tertiary - University or other higher education,Architecture and Building,48
Total,Male,Greater Dandenong,Tertiary - University or other higher education,"Agriculture, Environmental and Related Studies",9
Total,Male,Greater Dandenong,Tertiary - University or other higher education,Health,135
Total,Male,Greater Dandenong,Tertiary - University or other higher education,Education,44
Total,Male,Greater Dandenong,Tertiary - University or other higher education,Management and Commerce,384
Total,Male,Greater Dandenong,Tertiary - University or other higher education,Society and Culture,156
Total,Male,Greater Dandenong,Tertiary - University or other higher education,Creative Arts,58
Total,Male,Greater Dandenong,Tertiary - University or other higher education,"Food, Hospitality and Personal Services",50
Total,Male,Greater Dandenong,Tertiary - University or other higher education,Field of study inadequately described,33
Total,Male,Greater Dandenong,Tertiary - University or other higher education,Field of study not stated,58
Total,Male,Greater Dandenong,Tertiary - University or other higher education,Not applicable,1966
Total,Male,Greater Dandenong,Tertiary - not further defined,Field of study not stated,10
Total,Male,Greater Geelong,Tertiary - Vocational education (including TAFE and private training providers),Natural and Physical Sciences,30
Total,Male,Greater Geelong,Tertiary - Vocational education (including TAFE and private training providers),Information Technology,79
Total,Male,Greater Geelong,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,339
Total,Male,Greater Geelong,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,293
Total,Male,Greater Geelong,Tertiary - Vocational education (including TAFE and private training providers),"Agriculture, Environmental and Related Studies",62
Total,Male,Greater Geelong,Tertiary - Vocational education (including TAFE and private training providers),Health,83
Total,Male,Greater Geelong,Tertiary - Vocational education (including TAFE and private training providers),Education,45
Total,Male,Greater Geelong,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,219
Total,Male,Greater Geelong,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,157
Total,Male,Greater Geelong,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,92
Total,Male,Greater Geelong,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",133
Total,Male,Greater Geelong,Tertiary - Vocational education (including TAFE and private training providers),Mixed Field Programmes,3
Total,Male,Greater Geelong,Tertiary - Vocational education (including TAFE and private training providers),Field of study inadequately described,25
Total,Male,Greater Geelong,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,47
Total,Male,Greater Geelong,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,1458
Total,Male,Greater Geelong,Tertiary - University or other higher education,Natural and Physical Sciences,273
Total,Male,Greater Geelong,Tertiary - University or other higher education,Information Technology,160
Total,Male,Greater Geelong,Tertiary - University or other higher education,Engineering and Related Technologies,580
Total,Male,Greater Geelong,Tertiary - University or other higher education,Architecture and Building,226
Total,Male,Greater Geelong,Tertiary - University or other higher education,"Agriculture, Environmental and Related Studies",34
Total,Male,Greater Geelong,Tertiary - University or other higher education,Health,334
Total,Male,Greater Geelong,Tertiary - University or other higher education,Education,121
Total,Male,Greater Geelong,Tertiary - University or other higher education,Management and Commerce,374
Total,Male,Greater Geelong,Tertiary - University or other higher education,Society and Culture,296
Total,Male,Greater Geelong,Tertiary - University or other higher education,Creative Arts,151
Total,Male,Greater Geelong,Tertiary - University or other higher education,"Food, Hospitality and Personal Services",42
Total,Male,Greater Geelong,Tertiary - University or other higher education,Mixed Field Programmes,11
Total,Male,Greater Geelong,Tertiary - University or other higher education,Field of study inadequately described,43
Total,Male,Greater Geelong,Tertiary - University or other higher education,Field of study not stated,37
Total,Male,Greater Geelong,Tertiary - University or other higher education,Not applicable,2361
Total,Male,Greater Geelong,Tertiary - not further defined,Engineering and Related Technologies,3
Total,Male,Greater Geelong,Tertiary - not further defined,Field of study not stated,3
Total,Male,Greater Geelong,Tertiary - not further defined,Not applicable,4
Total,Male,Greater Shepparton,Tertiary - Vocational education (including TAFE and private training providers),Natural and Physical Sciences,3
Total,Male,Greater Shepparton,Tertiary - Vocational education (including TAFE and private training providers),Information Technology,11
Total,Male,Greater Shepparton,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,89
Total,Male,Greater Shepparton,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,32
Total,Male,Greater Shepparton,Tertiary - Vocational education (including TAFE and private training providers),"Agriculture, Environmental and Related Studies",8
Total,Male,Greater Shepparton,Tertiary - Vocational education (including TAFE and private training providers),Health,17
Total,Male,Greater Shepparton,Tertiary - Vocational education (including TAFE and private training providers),Education,17
Total,Male,Greater Shepparton,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,39
Total,Male,Greater Shepparton,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,50
Total,Male,Greater Shepparton,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,12
Total,Male,Greater Shepparton,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",19
Total,Male,Greater Shepparton,Tertiary - Vocational education (including TAFE and private training providers),Field of study inadequately described,3
Total,Male,Greater Shepparton,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,15
Total,Male,Greater Shepparton,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,369
Total,Male,Greater Shepparton,Tertiary - University or other higher education,Natural and Physical Sciences,35
Total,Male,Greater Shepparton,Tertiary - University or other higher education,Information Technology,13
Total,Male,Greater Shepparton,Tertiary - University or other higher education,Engineering and Related Technologies,38
Total,Male,Greater Shepparton,Tertiary - University or other higher education,Architecture and Building,11
Total,Male,Greater Shepparton,Tertiary - University or other higher education,"Agriculture, Environmental and Related Studies",13
Total,Male,Greater Shepparton,Tertiary - University or other higher education,Health,56
Total,Male,Greater Shepparton,Tertiary - University or other higher education,Education,21
Total,Male,Greater Shepparton,Tertiary - University or other higher education,Management and Commerce,52
Total,Male,Greater Shepparton,Tertiary - University or other higher education,Society and Culture,53
Total,Male,Greater Shepparton,Tertiary - University or other higher education,Creative Arts,9
Total,Male,Greater Shepparton,Tertiary - University or other higher education,Not applicable,178
Total,Male,Hepburn,Tertiary - Vocational education (including TAFE and private training providers),Natural and Physical Sciences,3
Total,Male,Hepburn,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,13
Total,Male,Hepburn,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,9
Total,Male,Hepburn,Tertiary - Vocational education (including TAFE and private training providers),"Agriculture, Environmental and Related Studies",3
Total,Male,Hepburn,Tertiary - Vocational education (including TAFE and private training providers),Education,3
Total,Male,Hepburn,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,6
Total,Male,Hepburn,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,13
Total,Male,Hepburn,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,7
Total,Male,Hepburn,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",11
Total,Male,Hepburn,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,7
Total,Male,Hepburn,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,53
Total,Male,Hepburn,Tertiary - University or other higher education,Information Technology,6
Total,Male,Hepburn,Tertiary - University or other higher education,Engineering and Related Technologies,9
Total,Male,Hepburn,Tertiary - University or other higher education,Health,8
Total,Male,Hepburn,Tertiary - University or other higher education,Education,3
Total,Male,Hepburn,Tertiary - University or other higher education,Management and Commerce,11
Total,Male,Hepburn,Tertiary - University or other higher education,Society and Culture,8
Total,Male,Hepburn,Tertiary - University or other higher education,Creative Arts,8
Total,Male,Hepburn,Tertiary - University or other higher education,"Food, Hospitality and Personal Services",5
Total,Male,Hepburn,Tertiary - University or other higher education,Field of study inadequately described,5
Total,Male,Hepburn,Tertiary - University or other higher education,Not applicable,32
Total,Male,Hindmarsh,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,7
Total,Male,Hindmarsh,Tertiary - Vocational education (including TAFE and private training providers),"Agriculture, Environmental and Related Studies",5
Total,Male,Hindmarsh,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,16
Total,Male,Hindmarsh,Tertiary - University or other higher education,"Agriculture, Environmental and Related Studies",3
Total,Male,Hindmarsh,Tertiary - University or other higher education,Health,3
Total,Male,Hindmarsh,Tertiary - University or other higher education,Not applicable,12
Total,Male,Hobsons Bay,Tertiary - Vocational education (including TAFE and private training providers),Natural and Physical Sciences,11
Total,Male,Hobsons Bay,Tertiary - Vocational education (including TAFE and private training providers),Information Technology,29
Total,Male,Hobsons Bay,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,130
Total,Male,Hobsons Bay,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,69
Total,Male,Hobsons Bay,Tertiary - Vocational education (including TAFE and private training providers),"Agriculture, Environmental and Related Studies",3
Total,Male,Hobsons Bay,Tertiary - Vocational education (including TAFE and private training providers),Health,13
Total,Male,Hobsons Bay,Tertiary - Vocational education (including TAFE and private training providers),Education,18
Total,Male,Hobsons Bay,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,97
Total,Male,Hobsons Bay,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,38
Total,Male,Hobsons Bay,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,28
Total,Male,Hobsons Bay,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",34
Total,Male,Hobsons Bay,Tertiary - Vocational education (including TAFE and private training providers),Field of study inadequately described,9
Total,Male,Hobsons Bay,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,18
Total,Male,Hobsons Bay,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,404
Total,Male,Hobsons Bay,Tertiary - University or other higher education,Natural and Physical Sciences,69
Total,Male,Hobsons Bay,Tertiary - University or other higher education,Information Technology,68
Total,Male,Hobsons Bay,Tertiary - University or other higher education,Engineering and Related Technologies,113
Total,Male,Hobsons Bay,Tertiary - University or other higher education,Architecture and Building,26
Total,Male,Hobsons Bay,Tertiary - University or other higher education,"Agriculture, Environmental and Related Studies",14
Total,Male,Hobsons Bay,Tertiary - University or other higher education,Health,64
Total,Male,Hobsons Bay,Tertiary - University or other higher education,Education,38
Total,Male,Hobsons Bay,Tertiary - University or other higher education,Management and Commerce,174
Total,Male,Hobsons Bay,Tertiary - University or other higher education,Society and Culture,142
Total,Male,Hobsons Bay,Tertiary - University or other higher education,Creative Arts,78
Total,Male,Hobsons Bay,Tertiary - University or other higher education,"Food, Hospitality and Personal Services",18
Total,Male,Hobsons Bay,Tertiary - University or other higher education,Field of study inadequately described,23
Total,Male,Hobsons Bay,Tertiary - University or other higher education,Field of study not stated,18
Total,Male,Hobsons Bay,Tertiary - University or other higher education,Not applicable,869
Total,Male,Horsham,Tertiary - Vocational education (including TAFE and private training providers),Natural and Physical Sciences,4
Total,Male,Horsham,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,30
Total,Male,Horsham,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,10
Total,Male,Horsham,Tertiary - Vocational education (including TAFE and private training providers),"Agriculture, Environmental and Related Studies",10
Total,Male,Horsham,Tertiary - Vocational education (including TAFE and private training providers),Health,3
Total,Male,Horsham,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,9
Total,Male,Horsham,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,6
Total,Male,Horsham,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",5
Total,Male,Horsham,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,86
Total,Male,Horsham,Tertiary - University or other higher education,Natural and Physical Sciences,7
Total,Male,Horsham,Tertiary - University or other higher education,Information Technology,6
Total,Male,Horsham,Tertiary - University or other higher education,Engineering and Related Technologies,13
Total,Male,Horsham,Tertiary - University or other higher education,Architecture and Building,5
Total,Male,Horsham,Tertiary - University or other higher education,"Agriculture, Environmental and Related Studies",10
Total,Male,Horsham,Tertiary - University or other higher education,Health,4
Total,Male,Horsham,Tertiary - University or other higher education,Management and Commerce,12
Total,Male,Horsham,Tertiary - University or other higher education,Society and Culture,11
Total,Male,Horsham,Tertiary - University or other higher education,Creative Arts,3
Total,Male,Horsham,Tertiary - University or other higher education,"Food, Hospitality and Personal Services",3
Total,Male,Horsham,Tertiary - University or other higher education,Field of study not stated,4
Total,Male,Horsham,Tertiary - University or other higher education,Not applicable,57
Total,Male,Hume,Tertiary - Vocational education (including TAFE and private training providers),Natural and Physical Sciences,23
