AGE5P Age in Five Year Groups,SEXP Sex,LGA (UR),TYPP Type of Educational Institution Attending,2-digit level QALFP Non-School Qualification: Field of Study,Count,X,Y
55-59 years,Female,Frankston,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,23,341028.059,5782113.168
55-59 years,Female,Frankston,Tertiary - University or other higher education,Natural and Physical Sciences,4,344173.078,5782501.651
55-59 years,Female,Frankston,Tertiary - University or other higher education,Health,12,341781.315,5773517.527
55-59 years,Female,Frankston,Tertiary - University or other higher education,Education,13,342062.942,5784624.165
55-59 years,Female,Frankston,Tertiary - University or other higher education,Management and Commerce,14,336125.633,5775195.129
55-59 years,Female,Frankston,Tertiary - University or other higher education,Society and Culture,18,343050.424,5782393.414
55-59 years,Female,Frankston,Tertiary - University or other higher education,Creative Arts,3,339530.674,5771394.426
55-59 years,Female,Frankston,Tertiary - University or other higher education,Not applicable,3,338358.508,5781152.807
55-59 years,Female,Glen Eira,Tertiary - Vocational education (including TAFE and private training providers),Information Technology,3,330972.468,5804729.284
55-59 years,Female,Glen Eira,Tertiary - Vocational education (including TAFE and private training providers),Health,6,331223.054,5803480.375
55-59 years,Female,Glen Eira,Tertiary - Vocational education (including TAFE and private training providers),Education,5,328127.94,5804603.098
55-59 years,Female,Glen Eira,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,10,327159.471,5803857.823
55-59 years,Female,Glen Eira,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,10,327728.543,5801140.46
55-59 years,Female,Glen Eira,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",3,327728.543,5804729.284
55-59 years,Female,Glen Eira,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,4,324730.745,5800679.566
55-59 years,Female,Glen Eira,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,10,331556.234,5806645.128
55-59 years,Female,Glen Eira,Tertiary - University or other higher education,Natural and Physical Sciences,3,326962.168,5806710.809
55-59 years,Female,Glen Eira,Tertiary - University or other higher education,Engineering and Related Technologies,7,325629.866,5806998.351
55-59 years,Female,Glen Eira,Tertiary - University or other higher education,Architecture and Building,4,329341.315,5802784.888
55-59 years,Female,Glen Eira,Tertiary - University or other higher education,Health,9,324827.261,5800104.749
55-59 years,Female,Glen Eira,Tertiary - University or other higher education,Education,10,329359.806,5805698.662
55-59 years,Female,Glen Eira,Tertiary - University or other higher education,Management and Commerce,13,328670.216,5804702.503
55-59 years,Female,Glen Eira,Tertiary - University or other higher education,Society and Culture,15,327418.122,5802194.66
55-59 years,Female,Glen Eira,Tertiary - University or other higher education,Creative Arts,4,330269.248,5800961.655
55-59 years,Female,Glen Eira,Tertiary - University or other higher education,Field of study inadequately described,4,328461.23,5805465.966
55-59 years,Female,Glen Eira,Tertiary - University or other higher education,Not applicable,8,329508.943,5803878.655
55-59 years,Female,Glenelg,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,3,-23729.452,5824088.101
55-59 years,Female,Glenelg,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,5,-22960.649,5759690.626
55-59 years,Female,Glenelg,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,3,19720.419,5803706.143
55-59 years,Female,Glenelg,Tertiary - University or other higher education,Education,3,-25970.995,5768013.686
55-59 years,Female,Golden Plains,Tertiary - Vocational education (including TAFE and private training providers),"Agriculture, Environmental and Related Studies",4,245293.955,5786076.054
55-59 years,Female,Golden Plains,Tertiary - Vocational education (including TAFE and private training providers),Health,3,215191.799,5815824.122
55-59 years,Female,Golden Plains,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,4,244573.028,5779211.24
55-59 years,Female,Golden Plains,Tertiary - University or other higher education,Health,3,199413.246,5797780.838
55-59 years,Female,Greater Bendigo,Tertiary - Vocational education (including TAFE and private training providers),Health,9,300826.657,5922912.756
55-59 years,Female,Greater Bendigo,Tertiary - Vocational education (including TAFE and private training providers),Education,10,286555.498,5939896.132
55-59 years,Female,Greater Bendigo,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,5,268323.512,5925037.572
55-59 years,Female,Greater Bendigo,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,17,285920.874,5915587.627
55-59 years,Female,Greater Bendigo,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,15,240897.827,5945777.579
55-59 years,Female,Greater Bendigo,Tertiary - University or other higher education,Health,19,259506.258,5965246.98
55-59 years,Female,Greater Bendigo,Tertiary - University or other higher education,Education,3,273271.99,5956344.597
55-59 years,Female,Greater Bendigo,Tertiary - University or other higher education,Management and Commerce,8,268323.512,5949663.123
55-59 years,Female,Greater Bendigo,Tertiary - University or other higher education,Society and Culture,13,263666.689,5918634.331
55-59 years,Female,Greater Dandenong,Tertiary - Vocational education (including TAFE and private training providers),Natural and Physical Sciences,3,337386.624,5789036.92
55-59 years,Female,Greater Dandenong,Tertiary - Vocational education (including TAFE and private training providers),Health,3,340611.258,5787295.625
55-59 years,Female,Greater Dandenong,Tertiary - Vocational education (including TAFE and private training providers),Education,4,342035.518,5795333.522
55-59 years,Female,Greater Dandenong,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,11,343771.916,5798653.836
55-59 years,Female,Greater Dandenong,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,7,343811.821,5789865.777
55-59 years,Female,Greater Dandenong,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",6,337802.009,5793877.252
55-59 years,Female,Greater Dandenong,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,30,338964.968,5786183.177
55-59 years,Female,Greater Dandenong,Tertiary - University or other higher education,Natural and Physical Sciences,6,344957.412,5787605.859
55-59 years,Female,Greater Dandenong,Tertiary - University or other higher education,Education,6,341925.768,5789608.562
55-59 years,Female,Greater Dandenong,Tertiary - University or other higher education,Management and Commerce,4,344087.137,5789083.81
55-59 years,Female,Greater Dandenong,Tertiary - University or other higher education,Society and Culture,7,341487.493,5785775.344
55-59 years,Female,Greater Geelong,Tertiary - Vocational education (including TAFE and private training providers),Information Technology,3,276870.383,5769320.198
55-59 years,Female,Greater Geelong,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,3,285843.535,5809764.048
55-59 years,Female,Greater Geelong,Tertiary - Vocational education (including TAFE and private training providers),Health,19,291475.44,5794987.449
55-59 years,Female,Greater Geelong,Tertiary - Vocational education (including TAFE and private training providers),Education,9,264574.593,5809764.048
55-59 years,Female,Greater Geelong,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,21,285810.442,5807342.248
55-59 years,Female,Greater Geelong,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,32,285046.214,5792386.391
55-59 years,Female,Greater Geelong,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",5,264574.593,5803051.997
55-59 years,Female,Greater Geelong,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,4,270269.109,5790302.046
55-59 years,Female,Greater Geelong,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,14,257132.842,5765693.54
55-59 years,Female,Greater Geelong,Tertiary - University or other higher education,Health,25,293118.213,5801080.661
55-59 years,Female,Greater Geelong,Tertiary - University or other higher education,Education,10,262518.929,5767376.529
55-59 years,Female,Greater Geelong,Tertiary - University or other higher education,Management and Commerce,13,288769.814,5790469.833
55-59 years,Female,Greater Geelong,Tertiary - University or other higher education,Society and Culture,19,258654.805,5809764.048
55-59 years,Female,Greater Geelong,Tertiary - University or other higher education,Creative Arts,5,283050.767,5790302.046
55-59 years,Female,Greater Geelong,Tertiary - University or other higher education,Not applicable,6,261991.217,5790282.297
55-59 years,Female,Greater Shepparton,Tertiary - Vocational education (including TAFE and private training providers),Health,4,352603.639,5979692.836
55-59 years,Female,Greater Shepparton,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,9,349708.003,5958166.403
55-59 years,Female,Greater Shepparton,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,5,342489.626,5983783.139
55-59 years,Female,Greater Shepparton,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,3,360526.022,5958166.403
55-59 years,Female,Greater Shepparton,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,15,340645.162,5950921.115
55-59 years,Female,Greater Shepparton,Tertiary - University or other higher education,Health,5,370891.563,5940138.834
55-59 years,Female,Greater Shepparton,Tertiary - University or other higher education,Society and Culture,9,374435.318,5969879.373
55-59 years,Female,Hepburn,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,3,227263.248,5857261.467
55-59 years,Female,Hepburn,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,3,240827.475,5849802.704
55-59 years,Female,Hepburn,Tertiary - University or other higher education,Health,4,259770.865,5864033.719
55-59 years,Female,Hepburn,Tertiary - University or other higher education,Society and Culture,3,256107.199,5863672.836
55-59 years,Female,Hepburn,Tertiary - University or other higher education,Creative Arts,4,233287.681,5869879.764
55-59 years,Female,Hobsons Bay,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,5,309786.768,5805463.873
55-59 years,Female,Hobsons Bay,Tertiary - Vocational education (including TAFE and private training providers),Education,10,305287.804,5804619.911
55-59 years,Female,Hobsons Bay,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,9,314106.825,5808871.737
55-59 years,Female,Hobsons Bay,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,7,309463.404,5806572.936
55-59 years,Female,Hobsons Bay,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,7,309840.264,5808871.737
55-59 years,Female,Hobsons Bay,Tertiary - University or other higher education,Information Technology,3,308358.2,5809035.605
55-59 years,Female,Hobsons Bay,Tertiary - University or other higher education,Health,7,311106.351,5810996.084
55-59 years,Female,Hobsons Bay,Tertiary - University or other higher education,Education,7,313959.752,5809625.196
55-59 years,Female,Hobsons Bay,Tertiary - University or other higher education,Management and Commerce,10,310108.184,5811175.77
55-59 years,Female,Hobsons Bay,Tertiary - University or other higher education,Society and Culture,12,315057.145,5806436.679
55-59 years,Female,Horsham,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,4,43496.902,5907301.157
55-59 years,Female,Horsham,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,4,54692.364,5875267.475
55-59 years,Female,Horsham,Tertiary - University or other higher education,Not applicable,3,50260.177,5930123.99
55-59 years,Female,Hume,Tertiary - Vocational education (including TAFE and private training providers),Natural and Physical Sciences,4,317056.946,5829902.976
55-59 years,Female,Hume,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,8,312032.819,5845338.795
55-59 years,Female,Hume,Tertiary - Vocational education (including TAFE and private training providers),Health,8,304150.912,5843217.326
55-59 years,Female,Hume,Tertiary - Vocational education (including TAFE and private training providers),Education,14,305011.077,5827133.036
55-59 years,Female,Hume,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,15,314453.956,5832625.79
55-59 years,Female,Hume,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,15,306793.77,5841415.842
55-59 years,Female,Hume,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",3,297761.761,5848223.491
55-59 years,Female,Hume,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,3,309132.844,5845338.795
55-59 years,Female,Hume,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,38,318204.53,5832945.43
55-59 years,Female,Hume,Tertiary - University or other higher education,Natural and Physical Sciences,3,300425.296,5836664.265
55-59 years,Female,Hume,Tertiary - University or other higher education,Education,5,318204.53,5841670.392
55-59 years,Female,Hume,Tertiary - University or other higher education,Management and Commerce,8,299934.367,5833677.088
55-59 years,Female,Hume,Tertiary - University or other higher education,Society and Culture,9,313972.302,5843868.333
55-59 years,Female,Indigo,Tertiary - Vocational education (including TAFE and private training providers),Education,4,474969.268,5985876.913
55-59 years,Female,Indigo,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,4,462929.735,5993631.559
55-59 years,Female,Indigo,Tertiary - University or other higher education,Health,3,486425.018,6009532.627
55-59 years,Female,Indigo,Tertiary - University or other higher education,Education,3,470461.006,5987999.305
55-59 years,Female,Kingston (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Health,12,335891.537,5788369.664
55-59 years,Female,Kingston (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,21,330211.265,5799702.336
55-59 years,Female,Kingston (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,13,335464.786,5798409.883
55-59 years,Female,Kingston (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,3,336612.188,5799278.966
55-59 years,Female,Kingston (Vic.),Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",4,335827.024,5792353.927
55-59 years,Female,Kingston (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Not applicable,19,334467.753,5793288.527
55-59 years,Female,Kingston (Vic.),Tertiary - University or other higher education,Natural and Physical Sciences,5,333233.386,5788369.664
55-59 years,Female,Kingston (Vic.),Tertiary - University or other higher education,Health,17,335367.158,5795467.502
55-59 years,Female,Kingston (Vic.),Tertiary - University or other higher education,Education,3,333967.383,5785841.634
55-59 years,Female,Kingston (Vic.),Tertiary - University or other higher education,Management and Commerce,7,333343.1,5785652.733
55-59 years,Female,Kingston (Vic.),Tertiary - University or other higher education,Society and Culture,15,335705.47,5793349.926
55-59 years,Female,Knox,Tertiary - Vocational education (including TAFE and private training providers),Information Technology,3,348851.92,5808519.654
55-59 years,Female,Knox,Tertiary - Vocational education (including TAFE and private training providers),Health,8,342838.306,5808249.637
55-59 years,Female,Knox,Tertiary - Vocational education (including TAFE and private training providers),Education,11,348081.907,5809485.952
55-59 years,Female,Knox,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,13,341106.418,5804962.058
55-59 years,Female,Knox,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,23,350754.657,5803101.799
55-59 years,Female,Knox,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",6,347440.675,5808249.637
55-59 years,Female,Knox,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,21,345780.085,5800901.128
55-59 years,Female,Knox,Tertiary - University or other higher education,Natural and Physical Sciences,3,344969.812,5806624.557
55-59 years,Female,Knox,Tertiary - University or other higher education,Health,9,344098.525,5810817.527
55-59 years,Female,Knox,Tertiary - University or other higher education,Education,7,345249.945,5802344.565
55-59 years,Female,Knox,Tertiary - University or other higher education,Management and Commerce,10,346989.092,5800158.628
55-59 years,Female,Knox,Tertiary - University or other higher education,Society and Culture,11,348243.468,5808501.849
55-59 years,Female,Knox,Tertiary - University or other higher education,Not applicable,7,350151.408,5801340.603
55-59 years,Female,Latrobe (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,3,463292.947,5770274.097
55-59 years,Female,Latrobe (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Health,5,463533.179,5747343.575
55-59 years,Female,Latrobe (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Education,3,453922.258,5745459.699
55-59 years,Female,Latrobe (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,10,455432.224,5743732.694
55-59 years,Female,Latrobe (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,5,465127.401,5795202.164
55-59 years,Female,Latrobe (Vic.),Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",7,447527.734,5744147.529
55-59 years,Female,Latrobe (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,4,461162.182,5764828.913
55-59 years,Female,Latrobe (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Not applicable,5,455432.224,5750843.161
55-59 years,Female,Latrobe (Vic.),Tertiary - University or other higher education,Health,6,433297.829,5772181.441
55-59 years,Female,Latrobe (Vic.),Tertiary - University or other higher education,Management and Commerce,3,438211.296,5747343.575
55-59 years,Female,Latrobe (Vic.),Tertiary - University or other higher education,Society and Culture,5,459531.359,5777842.856
55-59 years,Female,Loddon,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,3,253535.902,5972755.747
55-59 years,Female,Macedon Ranges,Tertiary - Vocational education (including TAFE and private training providers),Natural and Physical Sciences,4,284579.474,5876258.397
55-59 years,Female,Macedon Ranges,Tertiary - Vocational education (including TAFE and private training providers),Health,3,278317.739,5850243.22
55-59 years,Female,Macedon Ranges,Tertiary - Vocational education (including TAFE and private training providers),Education,3,283297.187,5861821.162
55-59 years,Female,Macedon Ranges,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,5,268711.813,5851945.591
55-59 years,Female,Macedon Ranges,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,3,285320.724,5864605.754
55-59 years,Female,Macedon Ranges,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,3,278317.739,5878346.664
55-59 years,Female,Macedon Ranges,Tertiary - University or other higher education,Health,10,285407.861,5874693.431
55-59 years,Female,Macedon Ranges,Tertiary - University or other higher education,Education,6,314007.293,5843638.832
55-59 years,Female,Macedon Ranges,Tertiary - University or other higher education,Management and Commerce,4,294134.467,5865475.888
55-59 years,Female,Macedon Ranges,Tertiary - University or other higher education,Society and Culture,10,274889.216,5885433.64
55-59 years,Female,Macedon Ranges,Tertiary - University or other higher education,Not applicable,4,280743.444,5849547.945
55-59 years,Female,Manningham,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,6,340757.669,5817249.398
55-59 years,Female,Manningham,Tertiary - Vocational education (including TAFE and private training providers),Health,3,335107.028,5814467.557
55-59 years,Female,Manningham,Tertiary - Vocational education (including TAFE and private training providers),Education,7,340806.799,5815526.515
55-59 years,Female,Manningham,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,20,333670.186,5814467.557
55-59 years,Female,Manningham,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,3,340679.269,5818558.348
55-59 years,Female,Manningham,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,12,343768.357,5824914.935
55-59 years,Female,Manningham,Tertiary - University or other higher education,Natural and Physical Sciences,4,332303.546,5816520.859
55-59 years,Female,Manningham,Tertiary - University or other higher education,Engineering and Related Technologies,6,341521.418,5818043.573
55-59 years,Female,Manningham,Tertiary - University or other higher education,Health,4,333123.193,5814467.557
55-59 years,Female,Manningham,Tertiary - University or other higher education,Education,7,335174.251,5814404.729
55-59 years,Female,Manningham,Tertiary - University or other higher education,Management and Commerce,4,340712.758,5817761.514
55-59 years,Female,Manningham,Tertiary - University or other higher education,Society and Culture,10,331036.527,5824914.935
55-59 years,Female,Manningham,Tertiary - University or other higher education,Creative Arts,8,348983.939,5817096.466
55-59 years,Female,Maribyrnong,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,4,314467.611,5813365.831
55-59 years,Female,Maribyrnong,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,3,313152.772,5813453.595
55-59 years,Female,Maribyrnong,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,3,314616.421,5815779.098
55-59 years,Female,Maribyrnong,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",7,313152.772,5813970.314
55-59 years,Female,Maribyrnong,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,4,311226.948,5812896.72
55-59 years,Female,Maribyrnong,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,6,313217.65,5814053.341
55-59 years,Female,Maribyrnong,Tertiary - University or other higher education,Natural and Physical Sciences,3,314483.32,5817919.039
55-59 years,Female,Maribyrnong,Tertiary - University or other higher education,Health,8,313916.666,5813305.538
55-59 years,Female,Maribyrnong,Tertiary - University or other higher education,Education,6,314975.281,5816846.439
55-59 years,Female,Maribyrnong,Tertiary - University or other higher education,Management and Commerce,4,314394.418,5813699.489
55-59 years,Female,Maribyrnong,Tertiary - University or other higher education,Society and Culture,8,314393.704,5817219.874
55-59 years,Female,Maribyrnong,Tertiary - University or other higher education,Creative Arts,5,313916.666,5814425.299
55-59 years,Female,Maroondah,Tertiary - Vocational education (including TAFE and private training providers),Health,7,350703.649,5815395.19
55-59 years,Female,Maroondah,Tertiary - Vocational education (including TAFE and private training providers),Education,5,350768.971,5817395.234
55-59 years,Female,Maroondah,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,9,346638.837,5815568.91
55-59 years,Female,Maroondah,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,5,343851.142,5816877.51
55-59 years,Female,Maroondah,Tertiary - Vocational education (including TAFE and private training providers),Field of study inadequately described,6,346599.584,5813095.199
55-59 years,Female,Maroondah,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,17,350841.317,5812576.231
55-59 years,Female,Maroondah,Tertiary - University or other higher education,Health,10,350084.256,5813293.201
55-59 years,Female,Maroondah,Tertiary - University or other higher education,Education,6,345844.747,5812482.341
55-59 years,Female,Maroondah,Tertiary - University or other higher education,Management and Commerce,7,347722.193,5815778.52
55-59 years,Female,Maroondah,Tertiary - University or other higher education,Society and Culture,9,346300.532,5811390.231
55-59 years,Female,Maroondah,Tertiary - University or other higher education,Creative Arts,9,347722.193,5811382.492
55-59 years,Female,Maroondah,Tertiary - University or other higher education,Field of study inadequately described,6,346300.532,5813894.693
55-59 years,Female,Melbourne,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,6,317504.852,5811534.479
55-59 years,Female,Melbourne,Tertiary - Vocational education (including TAFE and private training providers),"Agriculture, Environmental and Related Studies",3,315418.504,5816621.657
55-59 years,Female,Melbourne,Tertiary - Vocational education (including TAFE and private training providers),Health,4,322022.819,5812942.379
55-59 years,Female,Melbourne,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,12,317129.275,5814284.618
55-59 years,Female,Melbourne,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,13,322564.531,5814284.618
55-59 years,Female,Melbourne,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",3,316746.137,5815118.31
55-59 years,Female,Melbourne,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,10,320218.21,5814556.908
55-59 years,Female,Melbourne,Tertiary - University or other higher education,Health,11,316660.541,5812978.423
55-59 years,Female,Melbourne,Tertiary - University or other higher education,Education,7,319656.618,5813003.245
55-59 years,Female,Melbourne,Tertiary - University or other higher education,Management and Commerce,14,318667.232,5814284.618
55-59 years,Female,Melbourne,Tertiary - University or other higher education,Society and Culture,16,316793.797,5811849.343
55-59 years,Female,Melbourne,Tertiary - University or other higher education,Creative Arts,12,317895.35,5814430.704
55-59 years,Female,Melbourne,Tertiary - University or other higher education,"Food, Hospitality and Personal Services",5,320511.965,5811849.343
55-59 years,Female,Melton,Tertiary - Vocational education (including TAFE and private training providers),Health,5,292050.733,5834189.515
55-59 years,Female,Melton,Tertiary - Vocational education (including TAFE and private training providers),Education,5,285980.488,5816775.097
55-59 years,Female,Melton,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,6,293373.983,5824576.693
55-59 years,Female,Melton,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,12,301706.37,5830078.502
55-59 years,Female,Melton,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,5,280454.372,5833146.128
55-59 years,Female,Melton,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,5,285608.516,5836609.517
55-59 years,Female,Melton,Tertiary - University or other higher education,Health,6,298285.007,5824809.978
55-59 years,Female,Melton,Tertiary - University or other higher education,Education,4,283563.836,5824404.27
55-59 years,Female,Melton,Tertiary - University or other higher education,Management and Commerce,5,288928.502,5813919.389
55-59 years,Female,Melton,Tertiary - University or other higher education,Society and Culture,9,286041.779,5827902.963
55-59 years,Female,Melton,Tertiary - University or other higher education,Not applicable,4,286138.943,5816357.562
55-59 years,Female,Mildura,Tertiary - Vocational education (including TAFE and private training providers),Education,3,-2152.812,6087813.77
55-59 years,Female,Mildura,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,7,34.718,6203597.845
55-59 years,Female,Mildura,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,8,-19989.247,6128445.172
55-59 years,Female,Mildura,Tertiary - University or other higher education,Society and Culture,6,-35463.868,6180767.443
55-59 years,Female,Mitchell,Tertiary - Vocational education (including TAFE and private training providers),Health,4,320385.978,5889549.473
55-59 years,Female,Mitchell,Tertiary - Vocational education (including TAFE and private training providers),Education,3,345258.726,5870827.06
55-59 years,Female,Mitchell,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,3,315255.095,5903469.141
55-59 years,Female,Mitchell,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,3,330464.281,5877996.833
55-59 years,Female,Mitchell,Tertiary - University or other higher education,Management and Commerce,5,352374.899,5904953.271
55-59 years,Female,Mitchell,Tertiary - University or other higher education,Society and Culture,5,318454.314,5855889.072
55-59 years,Female,Mitchell,Tertiary - University or other higher education,Not applicable,5,285074.614,5901887.331
55-59 years,Female,Moira,Tertiary - Vocational education (including TAFE and private training providers),Health,4,425451.97,6016740.487
55-59 years,Female,Moira,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,4,415966.473,6000446.637
55-59 years,Female,Moira,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,7,354123.763,6019472.844
55-59 years,Female,Monash,Tertiary - Vocational education (including TAFE and private training providers),Natural and Physical Sciences,5,338430.48,5803748.635
55-59 years,Female,Monash,Tertiary - Vocational education (including TAFE and private training providers),Information Technology,5,340140.399,5800537.161
55-59 years,Female,Monash,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,5,338962.812,5807214.873
55-59 years,Female,Monash,Tertiary - Vocational education (including TAFE and private training providers),Health,5,336945.304,5804753.137
55-59 years,Female,Monash,Tertiary - Vocational education (including TAFE and private training providers),Education,5,340140.195,5807569.806
55-59 years,Female,Monash,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,18,338430.48,5806559.811
55-59 years,Female,Monash,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,15,339865.652,5804649.286
55-59 years,Female,Monash,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,7,341307.764,5803809.49
55-59 years,Female,Monash,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",4,338098.903,5805014.181
55-59 years,Female,Monash,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,7,333830.821,5801299.27
55-59 years,Female,Monash,Tertiary - University or other higher education,Natural and Physical Sciences,3,341307.764,5805069.954
55-59 years,Female,Monash,Tertiary - University or other higher education,Engineering and Related Technologies,6,341084.043,5803748.635
55-59 years,Female,Monash,Tertiary - University or other higher education,Health,10,339791.577,5803964.584
55-59 years,Female,Monash,Tertiary - University or other higher education,Education,11,336912.157,5807899.552
55-59 years,Female,Monash,Tertiary - University or other higher education,Management and Commerce,15,333990.296,5805222.6
55-59 years,Female,Monash,Tertiary - University or other higher education,Society and Culture,20,334438.726,5807979.074
55-59 years,Female,Monash,Tertiary - University or other higher education,Not applicable,7,332207.621,5803748.635
55-59 years,Female,Moonee Valley,Tertiary - Vocational education (including TAFE and private training providers),Health,4,317863.516,5822210.665
55-59 years,Female,Moonee Valley,Tertiary - Vocational education (including TAFE and private training providers),Education,3,314247.855,5817694.291
55-59 years,Female,Moonee Valley,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,3,316870.901,5819068.68
55-59 years,Female,Moonee Valley,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,8,312296.343,5820530.47
55-59 years,Female,Moonee Valley,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",3,317368.591,5822003.876
55-59 years,Female,Moonee Valley,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,7,314537.725,5818809.285
